;Very important;Rather important;Not very important;Not at all important;No answer;DK;(N)
TOTAL;44,7;40,2;12,1;2,2;0,4;0,4;58,842
Albania;32;51,2;14,5;1,6;0;0,7;1
Algeria;35,6;51,3;9,7;2,6;0;0,9;1,282
Argentina;49,7;30,4;15,9;2,8;0;1,2;1,28
Bangladesh;31,9;48,2;18,1;1,2;0;0,6;1,5
Bosnia Herzegovina;70,6;27,2;2;0,2;0;0,1;1,2
Canada;60,2;35,4;3,8;0,4;0,1;0;1,931
Chile;29,1;41,5;20,2;8,5;0;0,7;1,2
China;19,9;61,9;14,3;1,7;2;0,2;1
India;39,2;38,3;15,3;5,6;0;1,6;2,002
Indonesia;56;40,5;3,5;0;0;0;1
Iran;29;49,7;16,5;2,3;1,3;1,1;2,532
Iraq;59,6;31,9;6,2;1,2;0,6;0,5;2,325
Japan;46,6;45;5,2;0,1;0;3;1,362
Jordan;47,4;43,7;7,3;1,5;0;0;1,223
South Korea;44,8;50,7;4,1;0,3;0;0,2;1,2
Kyrgyzstan;47,5;42,4;9,3;0,6;0;0,3;1,043
Mexico;37,8;38,3;17,1;5,7;0;1,1;1,535
Moldova;34,9;46,9;15;1,8;0;1,5;1,008
Morocco;37,2;33,1;18;11,6;0;0,1;1,251
Nigeria;63,6;26,6;8,7;1;0;0;2,022
Pakistan;19,4;44,2;33,8;2,4;0;0;2
Peru;24,6;32,6;39,7;2,9;0;0,3;1,501
Philippines;36,8;51,4;10,2;1,4;0;0,2;1,2
Puerto Rico;32,2;49,6;16,1;1;0,3;0,8;720
Saudi Arabia;53,1;38,4;7,1;1,2;0;0,2;1,502
Singapore;39,5;53,3;7,1;0,1;0;0;1,512
Vietnam;21,6;59,5;17,5;0,7;0;0,7;1
South Africa;34,3;35,5;24,4;5,8;0;0,1;3
Zimbabwe;34,9;40,4;20,3;4,2;0;0,2;1,002
Spain;46,9;45,2;6,4;0,9;0;0,6;1,209
Sweden;70,7;26,9;2,2;0,2;0;0;1,014
Turkey;72,6;23,3;2,4;0,8;0,9;0;3,401
Uganda;75;20,1;4,1;0,7;0;0;1,002
Macedonia;49,2;44,1;4,6;1,1;0;1;1,055
Egypt;37,3;46,3;13,2;3,2;0;0,1;3
Tanzania;28,7;47,9;11,7;1,6;9,9;0,2;1,171
United States;64,2;31,5;3,8;0,3;0;0,1;1,2
Venezuela;52,5;37,4;8,6;1,5;0;0;1,2
Serbia;57,5;37,8;4,3;0,2;0;0,2;1,2
Montenegro;42,8;55;1,9;0;0;0,3;1,056
