;A religious person;Not a religious person;A convinced atheist;No answer;DK;(N)
TOTAL;74,3;17,4;3,8;0,7;3,8;56,079
Albania;65,2;25;5,3;0;4,5;1
Algeria;54,8;4;34,1;0;7,2;1,282
Argentina;80,9;12,3;2,7;0;4,1;1,28
Bangladesh;88,7;2,9;0;0;8,4;1,5
Bosnia Herzegovina;72,8;19,6;5,6;0;2,1;1,2
Canada;72,1;21,8;4,2;0,1;1,8;1,931
Chile;68,8;27,1;1,4;0;2,8;1,2
China;13,7;55,3;24;6,8;0,2;1
India;75;16,9;2,4;0;5,5;2,002
Indonesia;69,5;12,7;0;0;17,8;1
Iran;82,3;3,1;1,3;7,9;5,5;2,532
Iraq;84,4;12,9;0;0,9;1,7;2,325
Japan;23,1;52;12;0;12,9;1,362
Jordan;85;13,9;0;1;0,1;1,223
South Korea;30,8;37,7;31,3;0;0,2;1,2
Kyrgyzstan;73,7;21,8;2,6;0;1,9;1,043
Mexico;75,5;19,9;2,1;0;2,5;1,535
Moldova;85,2;7,7;0,9;0;6,2;1,008
Nigeria;96,3;3,3;0,1;0;0,3;2,022
Pakistan;85,8;8,8;0;0;5,5;2
Peru;86,2;10,7;0,7;0;2,4;1,501
Philippines;78,6;20,2;0,1;0;1,1;1,2
Puerto Rico;81,7;15,8;1;0,7;0,8;720
Saudi Arabia;63,6;26,7;0;0;9,7;1,502
Vietnam;36,4;46,5;11,8;0;5,3;1
South Africa;76,8;17,7;2,9;0,2;2,5;3
Zimbabwe;87,4;9,2;1,9;0;1,5;1,002
Spain;62,2;29,2;6,1;0;2,5;1,209
Sweden;37,1;51,8;6,4;0;4,7;1,014
Turkey;78,8;18;1;1,4;0,9;3,401
Uganda;93,3;5,1;0,7;0;0,9;1,002
Macedonia;82,3;15,2;0,4;0;2,1;1,055
Egypt;98,4;1,3;0;0;0,2;3
Tanzania;89,5;4,1;1,3;0,8;4,4;1,171
United States;81,2;15,8;1,4;0;1,7;1,2
Venezuela;77,6;19,9;1,2;0;1,3;1,2
Serbia;68,2;20,8;2,6;0;8,3;1,2
Montenegro;62,5;20,1;2,7;0;14,7;1,056
